Date,Description,Category,Amount,Balance
2026-03-01,Opening Balance,,0.00,6210.44
2026-03-01,SQUARE *RIVERA HANDYMAN,Business Income,1840.00,8050.44
2026-03-01,HOME DEPOT #0842,Business Supplies,-212.67,7837.77
2026-03-02,CHEVRON 0031924,Gas,-74.50,7763.27
2026-03-02,MCDONALD'S F12291,Dining,-9.87,7753.40
2026-03-02,QUICKBOOKS ONLINE,Business Subscriptions,-30.00,7723.40
2026-03-03,LOWES #02841,Business Supplies,-189.34,7534.06
2026-03-03,STARBUCKS #0271 PHOENIX AZ,Coffee,-7.25,7526.81
2026-03-04,AT&T WIRELESS AUTOPAY,Phone,-95.00,7431.81
2026-03-04,SHELL OIL 10038294,Gas,-81.20,7350.61
2026-03-05,SQUARE *RIVERA HANDYMAN,Business Income,2400.00,9750.61
2026-03-05,CHASE BUSINESS CHECKING FEE,Bank Fee,-15.00,9735.61
2026-03-06,COSTCO WHSE #0017,Business Supplies,-267.90,9467.71
2026-03-06,PIZZA HUT #4821,Dining,-22.50,9445.21
2026-03-07,STATE FARM INS AUTO PAY,Insurance,-184.00,9261.21
2026-03-07,CHEVRON 0031924,Gas,-69.40,9191.81
2026-03-08,ACE HARDWARE #1029,Business Supplies,-47.85,9143.96
2026-03-09,OFFICE DEPOT #0842,Office,-63.42,9080.54
2026-03-09,STARBUCKS #0271 PHOENIX AZ,Coffee,-6.75,9073.79
2026-03-10,VENMO TRANSFER - CARLOS R,Transfer,-500.00,8573.79
2026-03-10,SQUARE *RIVERA HANDYMAN,Business Income,650.00,9223.79
2026-03-11,WELLS FARGO MORTGAGE,Housing,-1820.00,7403.79
2026-03-11,APS ELECTRIC,Utilities,-142.00,7261.79
2026-03-12,SHELL OIL 10038294,Gas,-78.60,7183.19
2026-03-12,IN-N-OUT BURGER #0121,Dining,-14.25,7168.94
2026-03-13,HOME DEPOT #0842,Business Supplies,-334.21,6834.73
2026-03-14,SQUARE *RIVERA HANDYMAN,Business Income,3100.00,9934.73
2026-03-14,STARBUCKS #0271 PHOENIX AZ,Coffee,-7.25,9927.48
2026-03-15,WALMART SUPERCENTER,Groceries,-156.78,9770.70
2026-03-15,CHEVRON 0031924,Gas,-82.40,9688.30
2026-03-16,XFINITY INTERNET,Utilities,-89.99,9598.31
2026-03-16,AMAZON.COM PURCHASE,Business Supplies,-93.50,9504.81
2026-03-17,SQUARE *RIVERA HANDYMAN,Business Income,975.00,10479.81
2026-03-17,CHASE BUSINESS VISA PAYMENT,Credit Card,-1200.00,9279.81
2026-03-18,LOWES #02841,Business Supplies,-156.44,9123.37
2026-03-18,WHATABURGER #0842,Dining,-11.80,9111.57
2026-03-19,SHELL OIL 10038294,Gas,-75.20,9036.37
2026-03-20,STARBUCKS #0271 PHOENIX AZ,Coffee,-6.75,9029.62
2026-03-21,SQUARE *RIVERA HANDYMAN,Business Income,2250.00,11279.62
2026-03-21,INTUIT TURBOTAX,Software,-89.00,11190.62
2026-03-22,HOME DEPOT #0842,Business Supplies,-287.65,10902.97
2026-03-22,CHEVRON 0031924,Gas,-71.80,10831.17
2026-03-23,COSTCO WHSE #0017,Groceries,-198.43,10632.74
2026-03-23,STARBUCKS #0271 PHOENIX AZ,Coffee,-7.25,10625.49
2026-03-24,ACE HARDWARE #1029,Business Supplies,-38.90,10586.59
2026-03-25,SQUARE *RIVERA HANDYMAN,Business Income,1500.00,12086.59
2026-03-25,ARIZONA DEPT REVENUE - EST TAX,Taxes,-1800.00,10286.59
2026-03-26,SHELL OIL 10038294,Gas,-80.10,10206.49
2026-03-26,CHILI'S 0291 PHOENIX,Dining,-48.60,10157.89
2026-03-27,AMAZON.COM PURCHASE,Business Supplies,-45.30,10112.59
2026-03-28,ATM WITHDRAWAL - WELLS FARGO,Cash,-200.00,9912.59
2026-03-29,SQUARE *RIVERA HANDYMAN,Business Income,820.00,10732.59
2026-03-30,CHEVRON 0031924,Gas,-68.90,10663.69
2026-03-31,STARBUCKS #0271 PHOENIX AZ,Coffee,-6.75,10656.94
